participant	subject_type	task	run	roi	hemisphere	condition	y	type_of_y
sub-00	pilot	gic	run-009	fMotionArea	LH	Gaze	1.4729254663704348	beta_z-score
sub-00	pilot	gic	run-009	fMotionArea	RH	Gaze	3.2208557031613094	beta_z-score
sub-00	pilot	gic	run-009	Marquardt2017GFP	LH	Gaze	0.8574879997755689	beta_z-score
sub-00	pilot	gic	run-009	Marquardt2017GFP	RH	Gaze	2.327120252973854	beta_z-score
sub-00	pilot	gic	run-009	GFP	LH	Cubes	2.345483764126327	beta_z-score
sub-00	pilot	gic	run-009	GFP	RH	Cubes	4.460065672691737	beta_z-score
sub-00	pilot	gic	run-009	fMotionArea	LH	Cubes	3.3354103506279014	beta_z-score
sub-00	pilot	gic	run-009	fMotionArea	RH	Cubes	3.6100367895723853	beta_z-score
sub-00	pilot	gic	run-009	Marquardt2017GFP	LH	Cubes	3.146980563471379	beta_z-score
sub-00	pilot	gic	run-009	Marquardt2017GFP	RH	Cubes	2.8931796366645153	beta_z-score
sub-00	pilot	gic	run-009	GFP	LH	Iris	-0.2626696590606542	beta_z-score
sub-00	pilot	gic	run-009	GFP	RH	Iris	3.818886529560547	beta_z-score
sub-00	pilot	gic	run-009	fMotionArea	LH	Iris	2.0641869968748066	beta_z-score
sub-00	pilot	gic	run-009	fMotionArea	RH	Iris	2.9353864945375823	beta_z-score
sub-00	pilot	gic	run-009	Marquardt2017GFP	LH	Iris	0.9227788702477252	beta_z-score
sub-00	pilot	gic	run-009	Marquardt2017GFP	RH	Iris	2.01307431840415	beta_z-score
sub-0000	pilot	gic	run-010	GFP	LH	Gaze	-0.44748435098082695	beta_z-score
sub-0000	pilot	gic	run-010	GFP	RH	Gaze	1.0277209042607112	beta_z-score
sub-0000	pilot	gic	run-010	GazeCubes	LH	Gaze	0.7550279194443904	beta_z-score
sub-0000	pilot	gic	run-010	GazeCubes	RH	Gaze	-1.1558972857866954	beta_z-score
sub-0000	pilot	gic	run-010	fMotionArea	LH	Gaze	0.18582189906428348	beta_z-score
sub-0000	pilot	gic	run-010	fMotionArea	RH	Gaze	0.42085926162663906	beta_z-score
sub-0000	pilot	gic	run-010	GFPalt	LH	Gaze	0.17415251556867473	beta_z-score
sub-0000	pilot	gic	run-010	GFPalt	RH	Gaze	0.2425234158508513	beta_z-score
sub-0000	pilot	gic	run-010	Marquardt2017GFP	LH	Gaze	-0.14918556651718856	beta_z-score
sub-0000	pilot	gic	run-010	Marquardt2017GFP	RH	Gaze	-0.14313075992920785	beta_z-score
sub-0000	pilot	gic	run-010	GFP	LH	Cubes	0.4324687695730961	beta_z-score
sub-0000	pilot	gic	run-010	GFP	RH	Cubes	3.297239319607585	beta_z-score
sub-0000	pilot	gic	run-010	GazeCubes	LH	Cubes	-0.42516908336630643	beta_z-score
sub-0000	pilot	gic	run-010	GazeCubes	RH	Cubes	-1.663083621860212	beta_z-score
sub-0000	pilot	gic	run-010	fMotionArea	LH	Cubes	1.6373169478182727	beta_z-score
sub-0000	pilot	gic	run-010	fMotionArea	RH	Cubes	1.2134455947605505	beta_z-score
sub-0000	pilot	gic	run-010	GFPalt	LH	Cubes	-0.01894119222995685	beta_z-score
sub-0000	pilot	gic	run-010	GFPalt	RH	Cubes	0.15645718292589522	beta_z-score
sub-0000	pilot	gic	run-010	Marquardt2017GFP	LH	Cubes	0.6772915587367536	beta_z-score
sub-0000	pilot	gic	run-010	Marquardt2017GFP	RH	Cubes	1.9092386739904637	beta_z-score
sub-0000	pilot	gic	run-010	GFP	LH	Iris	-0.6441504927591568	beta_z-score
sub-0000	pilot	gic	run-010	GFP	RH	Iris	1.0565566189235989	beta_z-score
sub-0000	pilot	gic	run-010	GazeCubes	LH	Iris	0.3230750283200939	beta_z-score
sub-0000	pilot	gic	run-010	GazeCubes	RH	Iris	-1.3369157790696602	beta_z-score
sub-0000	pilot	gic	run-010	fMotionArea	LH	Iris	0.4407271716420867	beta_z-score
sub-0000	pilot	gic	run-010	fMotionArea	RH	Iris	0.24901464054667785	beta_z-score
sub-0000	pilot	gic	run-010	GFPalt	LH	Iris	-0.32906891437795965	beta_z-score
