participant,session,task,event_type,covariate,time,GFP_left,GFP_right,fMotionArea_left,fMotionArea_right,GazeCubes_left,GazeCubes_right,Marquardt2017GFP_left,Marquardt2017GFP_right
sub_0000,ses_com,gic,Cubes_1,intercept,13.35,-0.0407371121967346,-0.106457620470021,-0.0678019431987403,-0.253296311443467,-0.201225266755432,-0.168920407672322,-0.0566488639787245,-0.177794283232605
sub_0000,ses_com,gic,Cubes_1,intercept,13.425,-0.0550641100123105,-0.108672842050834,-0.0685992107348027,-0.247517597637852,-0.21068475257663,-0.170494633351384,-0.0558938644058405,-0.169173185130598
sub_0000,ses_com,gic,Cubes_2,intercept,0,0.0613400519473569,-0.0363739567698214,-0.132783101426893,-0.196338890514253,0.0211139811113798,-0.265087213367949,-0.00263787839167825,-0.170421566987124
sub_0000,ses_com,gic,Cubes_2,intercept,0.075,0.0538554433055536,-0.025051087268456,-0.126033095604899,-0.187779051635139,0.00602477896614544,-0.278053801111034,0.0042392234160332,-0.157556664563731
sub_0000,ses_com,gic,Cubes_2,intercept,0.15,0.0447056302039492,-0.015117307755871,-0.1186427049551,-0.178910904252581,-0.0105283872322915,-0.288966424718508,0.0106564016960547,-0.144241194376899
sub_0000,ses_com,gic,Cubes_2,intercept,0.225,0.0341351858940106,-0.00671678306668773,-0.110617647407223,-0.16970830024653,-0.0282915082360067,-0.297593976073587,0.016600321936774,-0.130520696680921
sub_0000,ses_com,gic,Cubes_2,intercept,0.3,0.0224147879242517,3.21252525209333E-05,-0.101974143744094,-0.160147622620689,-0.0469897828927637,-0.303744646311463,0.022065379135995,-0.11644668455524
sub_0000,ses_com,gic,Cubes_2,intercept,0.375,0.00983569816787661,0.0050385737978702,-0.0927382399594319,-0.150208625132269,-0.0663326976884438,-0.307269428560064,0.0270540831620177,-0.102075967677568
sub_0000,ses_com,gic,Cubes_2,intercept,0.45,-0.0032961409263906,0.00824047518470921,-0.0829449324656629,-0.139875212036617,-0.0860193962971324,-0.308064861400755,0.0315773166931269,-0.087469847323026
sub_0000,ses_com,gic,Cubes_2,intercept,0.525,-0.0166662749484375,0.0096052403979297,-0.0726371172250453,-0.129136139903835,-0.105744235500492,-0.306074962092026,0.0356544570403834,-0.072693195303992
sub_0000,ses_com,gic,Cubes_2,intercept,0.6,-0.0299580471940605,0.00913001616387016,-0.061864387240085,-0.117985624985367,-0.125202420368996,-0.301292313743935,0.0393133555811339,-0.0578134320517478
sub_0000,ses_com,gic,Cubes_2,intercept,0.675,-0.0428589231449232,0.00684141711792318,-0.0506817056930928,-0.106423841486919,-0.144095610219727,-0.293758286452068,0.0425901711111195,-0.0428994212723709
sub_0000,ses_com,gic,Cubes_2,intercept,0.75,-0.0550667036068115,0.00279476172401143,-0.0391479843157171,-0.0944572983027793,-0.162137387603682,-0.283562388593776,0.0455290561127243,-0.028020300539826
